model,batch size,time,required memory,simulated memory,fragmentation
alexnet,1,2.14,809.08,809.08,0.00
alexnet,32,2.71,809.08,809.08,0.00
vgg,1,4.25,2074.83,2074.83,0.00
vgg,32,3.63,2075.83,2075.83,0.00
mnasnet,1,27.92,35.15,35.15,0.00
mnasnet,32,25.14,790.91,790.91,0.00
mobilenet,1,62.16,70.79,70.79,0.00
mobilenet,32,24.83,1670.22,1670.22,0.00
efficientnet,1,143.33,109.99,109.99,0.00
efficientnet,32,126.09,2720.63,2720.59,0.00
vit,1,96.99,491.99,491.98,0.00
vit,32,41.80,4670.29,4670.29,0.00
bert,1,231.16,1062.29,1062.29,0.00
bert,32,214.48,1062.66,1062.65,0.00
