model,batch size,time,required memory,simulated memory,fragmentation
alexnet,1,2.33,665.08,665.08,0.00
alexnet,32,2.53,665.08,665.08,0.00
vgg,1,3.26,1682.83,1682.83,0.00
vgg,32,2.60,2044.71,2044.71,0.00
mnasnet,1,27.46,34.37,34.37,0.00
mnasnet,32,26.95,790.91,790.91,0.00
mobilenet,1,28.19,69.23,69.23,0.00
mobilenet,32,28.55,1670.22,1670.22,0.00
efficientnet,1,378.68,108.47,108.43,0.04
efficientnet,32,459.69,2722.53,2720.35,0.08
vit,1,86.28,482.96,482.96,0.00
vit,32,84.35,4670.29,4670.29,0.00
bert,1,221.13,915.02,915.02,0.00
bert,32,471.95,915.39,915.39,0.00
